time;open;high;low;close;volume
Jan 04 2010;313.78;315.06;312.42;313.68;3,908,400
Jan 05 2010;313.89;314.22;311.07;312.30;6,003,300
Jan 06 2010;313.23;313.23;303.47;304.42;7,949,400
Jan 07 2010;305.00;305.30;296.61;297.34;12,815,700
Jan 08 2010;296.29;301.92;294.84;301.30;9,439,100
Jan 11 2010;302.52;302.52;297.31;300.85;14,411,300
Jan 12 2010;299.11;299.37;294.28;295.53;9,696,800
Jan 13 2010;288.52;294.48;287.23;293.83;12,980,200
Jan 14 2010;292.23;297.39;291.69;295.21;8,471,700
Jan 15 2010;296.96;297.07;289.30;290.28;10,858,100
Jan 19 2010;290.88;295.50;288.42;294.09;8,624,700
Jan 20 2010;293.27;293.27;287.92;290.49;6,494,800
Jan 21 2010;292.00;293.69;286.40;291.77;12,602,700
Jan 22 2010;282.52;285.58;267.69;275.27;13,587,100
Jan 25 2010;273.56;275.21;268.01;270.26;8,830,900
Jan 26 2010;269.25;275.07;268.40;271.47;8,702,200
Jan 27 2010;270.90;274.09;267.91;271.31;7,920,800
Jan 28 2010;272.51;273.77;265.56;267.40;6,451,700
Jan 29 2010;269.51;270.76;263.06;265.23;8,272,700
Feb 01 2010;267.56;268.16;265.41;266.77;4,497,000
Feb 02 2010;267.74;267.74;264.06;265.82;8,184,200
Feb 03 2010;264.59;271.31;264.37;270.67;5,992,200
Feb 04 2010;268.76;269.26;263.03;263.65;6,748,600
Feb 05 2010;264.46;267.01;261.48;265.90;6,305,600
Feb 08 2010;266.51;271.26;266.02;266.99;5,383,200
Feb 09 2010;270.03;271.03;267.79;268.48;5,633,500
Feb 10 2010;267.29;269.16;264.10;267.48;5,343,600
Feb 11 2010;266.92;270.51;265.01;268.46;4,815,100
Feb 12 2010;266.74;268.84;265.51;266.82;4,554,800
Feb 16 2010;268.70;272.33;267.41;270.91;7,301,400
Feb 17 2010;271.26;271.96;269.07;269.37;4,055,300
Feb 18 2010;269.03;272.77;268.33;271.87;4,669,100
Feb 19 2010;270.53;272.28;270.11;270.64;5,101,000
Feb 22 2010;273.94;274.02;270.76;271.66;4,284,900
Feb 23 2010;271.76;272.08;266.40;267.79;5,739,400
Feb 24 2010;267.25;269.48;265.51;265.99;4,648,500
Feb 25 2010;263.82;264.50;260.25;263.47;6,611,700
Feb 26 2010;263.97;266.13;261.99;263.66;4,094,500
Mar 01 2010;264.86;266.90;264.13;266.60;4,471,300
Mar 02 2010;268.00;273.09;267.76;270.79;8,704,800
Mar 03 2010;271.44;274.33;269.89;272.92;6,172,600
Mar 04 2010;273.51;278.33;273.36;277.56;6,361,200
Mar 05 2010;280.95;284.11;280.22;282.38;7,816,500
Mar 08 2010;282.66;282.86;280.78;281.51;4,768,000
Mar 09 2010;280.20;282.60;278.52;280.37;6,346,800
Mar 10 2010;282.15;289.53;281.38;288.50;11,298,400
Mar 11 2010;287.41;293.39;287.38;290.85;8,458,100
Mar 12 2010;294.36;294.43;289.86;290.05;5,501,200
Mar 15 2010;283.61;285.00;278.27;281.86;9,298,400
Mar 16 2010;281.19;284.49;280.65;282.87;6,856,100
Mar 17 2010;284.43;286.00;282.40;283.05;6,636,500
Mar 18 2010;282.63;284.50;281.75;283.47;3,550,800
Mar 19 2010;280.27;284.28;278.91;280.27;9,578,800
Mar 22 2010;278.32;283.70;277.41;279.02;8,001,500
Mar 23 2010;278.79;279.43;271.26;274.77;10,991,500
Mar 24 2010;273.02;280.20;270.11;278.94;13,117,200
Mar 25 2010;279.78;286.28;279.60;281.71;7,853,900
Mar 26 2010;282.91;283.97;280.28;281.62;5,387,000
Mar 29 2010;281.77;282.63;280.56;281.50;6,202,700
Mar 30 2010;281.69;284.09;280.41;283.63;3,951,800
Mar 31 2010;282.80;285.15;281.68;283.83;6,055,500
Apr 01 2010;285.95;287.00;283.05;284.68;4,201,100
Apr 05 2010;285.73;287.72;284.78;285.78;3,799,100
Apr 06 2010;285.01;285.72;282.97;284.39;4,116,000
Apr 07 2010;283.92;284.65;281.20;282.04;5,156,800
Apr 08 2010;281.93;285.20;280.30;284.02;3,891,100
Apr 09 2010;284.02;284.66;282.27;283.38;4,109,000
Apr 12 2010;283.95;287.28;283.38;286.64;4,700,000
Apr 13 2010;286.54;294.73;285.84;293.67;7,816,700
Apr 14 2010;295.32;296.46;292.29;294.79;6,798,500
Apr 15 2010;296.37;299.21;294.43;297.94;13,510,000
Apr 16 2010;281.77;284.68;275.08;275.34;24,446,500
Apr 19 2010;274.64;277.26;272.76;275.32;7,780,200
